State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Transmission rate,Deceased Rate,Predictions
Kerala,Idukki,16862,13816,20,Orange Zone,Children or adolescent,Local,415,High,0,1
Kerala,Kannur,40258,36431,203,Red Zone,Senior Citizens,Local,415,High,0,2
Kerala,Kasaragod,24323,22531,86,Orange Zone,Children or adolescent,Local,415,High,0,1
Kerala,Kollam,60208,55142,220,Orange Zone,Senior Citizens,Local,415,Very High,0,2
Kerala,Kottayam,52265,45426,152,Red Zone,Senior Citizens,Local,415,Very High,0,2
Kerala,Kozhikode,87327,81850,297,Orange Zone,Senior Citizens,Local,415,Very High,1,2
Kerala,Malappuram,91911,86587,346,Orange Zone,Senior Citizens,Local,415,Very High,1,2
Kerala,Palakkad,48468,43507,134,Orange Zone,Senior Citizens,Local,415,High,0,2
Kerala,Pathanamthitta,31444,24975,59,Orange Zone,Senior Citizens,Local,415,High,0,2
Kerala,Thiruvananthapuram,82574,78602,657,Orange Zone,Senior Citizens,Local,415,Very High,2,2
Kerala,Thrissur,75384,69353,331,Orange Zone,Senior Citizens,Local,415,Very High,1,2
Kerala,Wayanad,17301,14656,51,Green Zone,Senior Citizens,Local,415,High,0,2
Ladakh,Leh,7369,7100,84,Orange Zone,Senior Citizens,Local,183,Normal,0,2
Maharashtra,Ahmednagar,69277,66615,1047,Orange Zone,Children or adolescent,Imported,199,Very High,4,3
Maharashtra,Mumbai,294660,273634,11132,Red Zone,Children or adolescent,Imported,199,Very High,43,3
Maharashtra,Nagpur,126112,118358,3212,Red Zone,Children or adolescent,Imported,199,Very High,12,3
Maharashtra,Nashik,115791,112206,1906,Red Zone,Children or adolescent,Local,199,Very High,7,1
Maharashtra,Pune,373727,352140,7767,Red Zone,Children or adolescent,Local,199,Very High,30,1
Maharashtra,Raigad,66432,64410,1498,Orange Zone,Children or adolescent,Imported,199,Very High,5,3
Maharashtra,Satara,54699,52087,1769,Orange Zone,Children or adolescent,Imported,199,Very High,7,3
Maharashtra,Solapur,53574,50966,1765,Red Zone,Children or adolescent,Local,199,Very High,6,1
Maharashtra,Thane,255248,239389,5590,Red Zone,Children or adolescent,Imported,199,Very High,22,3
Maharashtra,Yavatmal,13888,13100,395,Red Zone,Children or adolescent,Imported,199,High,1,3
Meghalaya,East Khasi Hills,8264,8016,113,Orange Zone,Senior Citizens,Local,182,Normal,0,2
Meghalaya,South Garo Hills,197,196,1,Green Zone,Children or adolescent,Local,182,Normal,0,0
Meghalaya,West Garo Hills,1709,1679,16,Green Zone,Children or adolescent,Local,182,Normal,0,0
Madhya Pradesh,Bhopal,39601,37022,581,Red Zone,Children or adolescent,Local,188,High,2,1
Madhya Pradesh,Chhindwara,2683,2581,42,Orange Zone,Children or adolescent,Local,188,Normal,0,0
Madhya Pradesh,Gwalior,15963,15464,204,Red Zone,Children or adolescent,Local,188,High,0,1
Madhya Pradesh,Indore,55320,51605,880,Orange Zone,Children or adolescent,Local,188,Very High,3,1
Madhya Pradesh,Jabalpur,15562,14885,242,Red Zone,Children or adolescent,Imported,188,High,0,3
Madhya Pradesh,Ujjain,4682,4349,102,Red Zone,Senior Citizens,Local,188,Normal,0,2
Mizoram,Aizawl,2758,2684,7,Green Zone,Children or adolescent,Local,188,Normal,0,0
Mizoram,Lunglei,398,378,0,Green Zone,Children or adolescent,Local,188,Normal,0,0
